Chromosome	Start	Stop	Length	Strand	Gene Symbol	gene_id	gene_name	gene_type	havana_gene	hgnc_id	level	ont	A1	A2	A3	A5	HD4	H5	H6	A4	H1	H2
3	50155045	50189076	34031	+	ENSG00000001617.12	ENSG00000001617.12	SEMA3F	protein_coding	OTTHUMG00000156806.9	HGNC:10728	2	---	0	1	3	3	3	0	3	3	0	0
7	92245974	92401384	155410	+	ENSG00000001629.10	ENSG00000001629.10	ANKIB1	protein_coding	OTTHUMG00000155859.3	HGNC:22215	2	---	201	199	298	50	817	669.999	874.002	68	237	300
7	92084987	92134804	49817	-	ENSG00000001630.18	ENSG00000001630.18	CYP51A1	protein_coding	OTTHUMG00000193420.2	HGNC:2649	2	---	43.1993	13.3016	258.112	80.8033	36.9009	39.7982	41.9935	125.59	16.514	18.3389
7	92197498	92246167	48669	-	ENSG00000001631.17	ENSG00000001631.17	KRIT1	protein_coding	OTTHUMG00000131187.10	HGNC:1573	2	---	44.5866	72.094	95.6704	30	356.415	353.641	348.978	26.1073	111.187	90.7031
12	911736	990054	78318	-	ENSG00000002016.18	ENSG00000002016.18	RAD52	protein_coding	OTTHUMG00000090361.6	HGNC:9824	2 | 3	---	8	31	22	26	77	138	139	20	46	49
11	64269830	64284705	14875	-	ENSG00000002330.14	ENSG00000002330.14	BAD	protein_coding	OTTHUMG00000134302.4	HGNC:936	1 | 2	---	296.225	175	598.922	711.721	423.226	369.323	443.59	261.391	148.725	360.786
4	17577198	17607973	30775	+	ENSG00000002549.13	ENSG00000002549.13	LAP3	protein_coding	OTTHUMG00000048214.7	HGNC:18449	2 | 3	---	244	27	493.001	87	1193.98	710.961	470.98	1666.11	859.972	211.967
X	2691187	2741310	50123	+	ENSG00000002586.20	ENSG00000002586.20	CD99	protein_coding	OTTHUMG00000021073.12	HGNC:7082	2 | 3	---	41.5	6	184	185.5	43.5	80	61.5	401.502	14.5	19.5
Y	2691187	2741310	50123	+	ENSG00000002586.20_PAR_Y	ENSG00000002586.20_PAR_Y	CD99	protein_coding	OTTHUMG00000021073.12	HGNC:7082	2 | 3	---	41.5	6	184	185.5	43.5	80	61.5	401.502	14.5	19.5
7	150824627	150861505	36878	+	ENSG00000002726.21	ENSG00000002726.21	AOC1	protein_coding	OTTHUMG00000158306.2	HGNC:80	2	---	0	148	124	0	509.001	314.001	218	253	93	66
7	1815793	2233244	417451	-	ENSG00000002822.16	ENSG00000002822.16	MAD1L1	protein_coding	OTTHUMG00000151493.7	HGNC:6762	1 | 2	---	31.9898	16	128.697	38.6843	155.854	165.833	128.187	55.9667	54.8958	74.3987
17	38869859	38921771	51912	+	ENSG00000002834.18	ENSG00000002834.18	LASP1	protein_coding	OTTHUMG00000133182.8	HGNC:6513	1 | 2 | 3	---	9534.7	10400.5	18204.5	8659.6	28052.2	28162.8	23147.5	6464.03	13242.7	12262.1
17	48103357	48123602	20245	+	ENSG00000002919.15	ENSG00000002919.15	SNX11	protein_coding	OTTHUMG00000178822.2	HGNC:14975	2	---	1335.01	1096	2728.02	2230.96	2876	2491	2537.01	1148.01	1383	1838.01
7	150800403	150805119	4716	+	ENSG00000002933.9	ENSG00000002933.9	TMEM176A	protein_coding	OTTHUMG00000158114.6	HGNC:24930	2	---	1	11	203	7	111	39	4	748.999	9	2
12	8940361	8949762	9401	-	ENSG00000003056.8	ENSG00000003056.8	M6PR	protein_coding	OTTHUMG00000168276.4	HGNC:6752	1 | 2 | 3	---	174.048	316.349	1175.2	358.001	3040.73	2349.28	2532.85	1001.53	713.289	1058.43
X	117897813	118117341	219528	-	ENSG00000003096.15	ENSG00000003096.15	KLHL13	protein_coding	OTTHUMG00000022252.4	HGNC:22931	2	---	0	0	3	1	70	65	56	0	9	15
2	72129238	72147863	18625	-	ENSG00000003137.9	ENSG00000003137.9	CYP26B1	protein_coding	OTTHUMG00000129756.5	HGNC:20581	1 | 2 | 3	---	0	0	0	0	0	0	363	0	1	0
7	8113184	8262688	149504	-	ENSG00000003147.19	ENSG00000003147.19	ICA1	protein_coding	OTTHUMG00000152008.11	HGNC:5343	2 | 3	---	34	69	248	74	99	76	124	56	61	82
16	90004871	90019891	15020	-	ENSG00000003249.15	ENSG00000003249.15	DBNDD1	protein_coding	OTTHUMG00000138984.4	HGNC:28455	2	---	1	0	3	0	17	10	13	0	4	5
2	201700267	201782113	81846	-	ENSG00000003393.16	ENSG00000003393.16	ALS2	protein_coding	OTTHUMG00000154507.8	HGNC:443	2	---	61	158	162	56	1106	616	689	72	234	154
2	201182872	201229429	46557	+	ENSG00000003400.16	ENSG00000003400.16	CASP10	protein_coding	OTTHUMG00000132818.5	HGNC:1500	2	---	660.003	1177.01	888.999	790	596.998	395	523	563.354	351	219
2	201116154	201176688	60534	+	ENSG00000003402.21	ENSG00000003402.21	CFLAR	protein_coding	OTTHUMG00000132819.20	HGNC:1876	1 | 2	---	16650.6	40950.4	24233.5	25950.7	41068.6	44519.8	35266.9	16033.7	23272.2	14469.5
2	187464230	187565761	101531	-	ENSG00000003436.16	ENSG00000003436.16	TFPI	protein_coding	OTTHUMG00000132634.8	HGNC:11760	2	---	2	1	2	4	4	3	1	2	0	1
2	37231631	37253404	21773	+	ENSG00000003509.16	ENSG00000003509.16	NDUFAF7	protein_coding	OTTHUMG00000128468.7	HGNC:28816	1 | 2	---	60.8548	72.2538	130.724	128.377	205.085	183.446	226.575	48.1718	82.3568	77.4981
3	50088919	50119022	30103	+	ENSG00000003756.17	ENSG00000003756.17	RBM5	protein_coding	OTTHUMG00000156785.9	HGNC:9902	1 | 2	---	1636.44	2555.62	2901.57	2063.22	7378.78	8367.52	6971.71	1460.42	3736	2719.78
8	17296794	17413529	116735	-	ENSG00000003987.14	ENSG00000003987.14	MTMR7	protein_coding	OTTHUMG00000163771.4	HGNC:7454	2	---	8.59595	22.8334	36.4801	27.7481	40.4025	43.8722	44.4632	16.8464	18.6026	12.6557
7	127588386	127591701	3315	+	ENSG00000004059.11	ENSG00000004059.11	ARF5	protein_coding	OTTHUMG00000023246.7	HGNC:658	2	---	1685.01	1208.38	4739.69	5351.35	3526.69	4437.58	4435.49	2718.21	2168.74	3289.64
17	28364356	28404050	39694	+	ENSG00000004139.14	ENSG00000004139.14	SARM1	protein_coding	OTTHUMG00000132499.47	HGNC:17074	1 | 2	---	0	9.95642	19	5	44.4416	57.4874	58.9026	9.1667	29.5238	11.581
17	28346633	28357528	10895	-	ENSG00000004142.12	ENSG00000004142.12	POLDIP2	protein_coding	OTTHUMG00000132065.9	HGNC:23781	2	---	451.36	374.266	1180.53	586.617	755.214	943.903	1096.2	511.521	358.547	560.646
3	129555214	129606677	51463	-	ENSG00000004399.13	ENSG00000004399.13	PLXND1	protein_coding	OTTHUMG00000159547.15	HGNC:9107	1 | 2	---	16	6	251	72	65	88	32	254	26	12
1	33007986	33080997	73011	-	ENSG00000004455.18	ENSG00000004455.18	AK2	protein_coding	OTTHUMG00000004131.7	HGNC:362	1 | 2	---	337.066	93.6079	1133.78	220.492	1381.54	1531.12	1279.15	506.683	411.424	611.786
4	15778275	15853233	74958	+	ENSG00000004468.13	ENSG00000004468.13	CD38	protein_coding	OTTHUMG00000048206.6	HGNC:1667	2	---	50	96	117	38	183	113	102	73	92	31
12	2794970	2805424	10454	+	ENSG00000004478.8	ENSG00000004478.8	FKBP4	protein_coding	OTTHUMG00000090429.4	HGNC:3720	2 | 3	---	17	7	78.6904	61	128	111	128	127	36	61
1	23019443	23083690	64247	+	ENSG00000004487.18	ENSG00000004487.18	KDM1A	protein_coding	OTTHUMG00000003220.7	HGNC:29079	1 | 2	---	10	6	152	51	323	334	308	118	65	47
3	49940007	50100046	160039	+	ENSG00000004534.15	ENSG00000004534.15	RBM6	protein_coding	OTTHUMG00000156736.13	HGNC:9903	1 | 2	---	686.001	587.046	745.999	356	2698.49	2517.23	2668.93	282	837.223	798.881
17	3860315	3894892	34577	-	ENSG00000004660.15	ENSG00000004660.15	CAMKK1	protein_coding	OTTHUMG00000090725.3	HGNC:1469	2	---	879.999	1637	1599	1034	1008	1113	1137	229	875	544
12	21468910	21501670	32760	-	ENSG00000004700.16	ENSG00000004700.16	RECQL	protein_coding	OTTHUMG00000169131.3	HGNC:9948	2	---	113.517	223.506	243.418	182.984	524.146	545.973	637.024	172.854	213.938	215.701
7	93232340	93361124	128784	+	ENSG00000004766.17	ENSG00000004766.17	VPS50	protein_coding	OTTHUMG00000131733.6	HGNC:25956	2 | 3	---	7	9	18	10	65	100	58	31	17	18
19	35774532	35788823	14291	+	ENSG00000004777.19	ENSG00000004777.19	ARHGAP33	protein_coding	OTTHUMG00000182071.4	HGNC:23085	1 | 2	---	39	50	203	117	202.836	103	195	46	67.9379	48
16	23581014	23596317	15303	-	ENSG00000004779.10	ENSG00000004779.10	NDUFAB1	protein_coding	OTTHUMG00000096985.6	HGNC:7694	1 | 2	---	24	20	163	80.9999	100	144	122	234	26	85
7	95583499	95596517	13018	-	ENSG00000004799.8	ENSG00000004799.8	PDK4	protein_coding	OTTHUMG00000153977.3	HGNC:8812	2	---	9	39	681.999	9	278	824.999	1485	5	236	254
6	110424687	110476642	51955	-	ENSG00000004809.14	ENSG00000004809.14	SLC22A16	protein_coding	OTTHUMG00000016171.5	HGNC:20302	2 | 3	---	7	16	20	3	13	8	0	15	3	1
3	50341110	50345733	4623	-	ENSG00000004838.14	ENSG00000004838.14	ZMYND10	protein_coding	OTTHUMG00000156874.6	HGNC:19412	1 | 2	---	11	6	16	27	83	31	47	11	17	27
7	96120220	96322148	201928	-	ENSG00000004864.14	ENSG00000004864.14	SLC25A13	protein_coding	OTTHUMG00000023074.5	HGNC:10983	2 | 3	---	54	77	730.003	65	197	268	221	73	110	100
7	116953238	117230177	276939	+	ENSG00000004866.22	ENSG00000004866.22	ST7	protein_coding	OTTHUMG00000023888.24	HGNC:11351	1 | 2	---	4	9	35.7802	11	31	23.8988	14	29	7	2.64987
17	47117703	47189423	71720	-	ENSG00000004897.12	ENSG00000004897.12	CDC27	protein_coding	OTTHUMG00000166429.8	HGNC:1728	2	---	280.924	256.76	374.942	144	761.664	684.999	749.958	155	335.85	241
17	44248390	44268142	19752	-	ENSG00000004939.16	ENSG00000004939.16	SLC4A1	protein_coding	OTTHUMG00000156843.3	HGNC:11027	2 | 3	---	1	0	17	0	10	3	1	0	5	0
X	11111301	11123087	11786	+	ENSG00000004961.15	ENSG00000004961.15	HCCS	protein_coding	OTTHUMG00000021128.2	HGNC:4837	2	---	74	83	118	101	184	185	223	82	64	101
17	7225342	7234518	9176	-	ENSG00000004975.12	ENSG00000004975.12	DVL2	protein_coding	OTTHUMG00000102155.5	HGNC:3086	2	---	95	84	400.001	87	424	428.001	400	180	159	233
19	18831959	18868231	36272	+	ENSG00000005007.14	ENSG00000005007.14	UPF1	protein_coding	OTTHUMG00000183025.2	HGNC:9962	2	---	2853.01	6032.92	4799.05	4509.84	8366.8	8222.99	6982.15	1305.01	3318.02	3818.04
7	26667068	26995240	328172	-	ENSG00000005020.13	ENSG00000005020.13	SKAP2	protein_coding	OTTHUMG00000023495.5	HGNC:15687	2	---	5709.99	5439.03	6233.01	1860	6789.98	15713.1	9999.99	2660	4521	4665
X	119468422	119471397	2975	+	ENSG00000005022.6	ENSG00000005022.6	SLC25A5	protein_coding	OTTHUMG00000022715.3	HGNC:10991	2	---	436.899	326.954	1849.89	941.002	751.901	766.901	806.84	1317.94	270.925	559.927
4	109560209	109688720	128511	+	ENSG00000005059.16	ENSG00000005059.16	MCUB	protein_coding	OTTHUMG00000161103.3	HGNC:26076	2	---	3	3	93	31	48	76	25	257	6	17
7	102473128	102478923	5795	-	ENSG00000005075.16	ENSG00000005075.16	POLR2J	protein_coding	OTTHUMG00000150387.1	HGNC:9197	2	---	1089.9	526.721	2355.34	2070.55	1424.98	1379.15	1561.9	1132.69	589.463	1031.96
17	5440917	5468983	28066	-	ENSG00000005100.13	ENSG00000005100.13	DHX33	protein_coding	OTTHUMG00000102041.3	HGNC:16718	1 | 2	---	30	28	70	9	143	152	187	46	43	53
7	11370365	11832199	461834	-	ENSG00000005108.17	ENSG00000005108.17	THSD7A	protein_coding	OTTHUMG00000152346.5	HGNC:22207	2	---	2	10	6	6	3	0	7	0	0	0
17	34980512	35009744	29232	+	ENSG00000005156.12	ENSG00000005156.12	LIG3	protein_coding	OTTHUMG00000128519.7	HGNC:6600	1 | 2	---	48.7185	196.427	214.342	98.0457	676.212	563.899	498.694	141.06	148.69	128.389
12	47661249	47706031	44782	-	ENSG00000005175.10	ENSG00000005175.10	RPAP3	protein_coding	OTTHUMG00000169668.3	HGNC:26151	2	---	387.999	291	935.999	146	2155.99	2089	1685	325.999	951.002	772
16	20610243	20797582	187339	+	ENSG00000005187.12	ENSG00000005187.12	ACSM3	protein_coding	OTTHUMG00000131552.7	HGNC:10522	1 | 2	---	3	6.83623	69.2479	9	536.686	398.623	384.029	12	66.2012	95.5514
16	20806429	20849666	43237	+	ENSG00000005189.20	ENSG00000005189.20	REXO5	protein_coding	OTTHUMG00000131556.5	HGNC:24661	1 | 2	---	3	3.93762e-12	35	2	19	41	30.9997	4	7	7.99841
16	57428187	57447421	19234	-	ENSG00000005194.15	ENSG00000005194.15	CIAPIN1	protein_coding	OTTHUMG00000133457.8	HGNC:28050	1 | 2	---	47	35	235	91	165	169	194	188	59	86
19	2328615	2355096	26481	+	ENSG00000005206.17	ENSG00000005206.17	SPPL2B	protein_coding	OTTHUMG00000180443.10	HGNC:30627	2	---	77.9968	220	432	296	515	622.001	670	125	220	233
9	35104112	35116342	12230	-	ENSG00000005238.20	ENSG00000005238.20	ATOSB	protein_coding	OTTHUMG00000019847.6	HGNC:25666	2	---	2460	2606.98	4870.96	5195.84	5425.04	5254.99	5852.02	1778.01	3425.01	2467.01
17	48026167	48038031	11864	-	ENSG00000005243.10	ENSG00000005243.10	COPZ2	protein_coding	OTTHUMG00000178684.6	HGNC:19356	2	---	1	0	2	2	2	0	0	3	0	0
7	107044705	107161812	117107	+	ENSG00000005249.14	ENSG00000005249.14	PRKAR2B	protein_coding	OTTHUMG00000137418.2	HGNC:9392	2	---	90	11	101	54	66	89	100	38	34	45
X	11758159	11775773	17614	+	ENSG00000005302.19	ENSG00000005302.19	MSL3	protein_coding	OTTHUMG00000021132.13	HGNC:7370	2 | 3	---	4480.99	6405.98	5972	8249.89	3589	5405.03	2945.99	2226.99	3446	819.99
16	3725054	3880714	155660	-	ENSG00000005339.15	ENSG00000005339.15	CREBBP	protein_coding	OTTHUMG00000129431.7	HGNC:2348	1 | 2	---	4781.97	9202.09	6404.05	3019	16978	13882	10622.8	2167	5561.02	3474.99
17	58301228	58328796	27568	-	ENSG00000005379.17	ENSG00000005379.17	TSPOAP1	protein_coding	OTTHUMG00000178923.5	HGNC:16831	2	---	64	152	122	185	135	154	127	112	83	42
17	58269855	58280936	11081	-	ENSG00000005381.9	ENSG00000005381.9	MPO	protein_coding	OTTHUMG00000178922.3	HGNC:7218	2	---	90	13	5748.77	42	53	43	44	679	3	20
2	75652000	75710986	58986	-	ENSG00000005436.14	ENSG00000005436.14	GCFC2	protein_coding	OTTHUMG00000129989.5	HGNC:1317	1 | 2 | 3	---	4	0	25	7	22	28	39	33	4	6
2	74421678	74425756	4078	+	ENSG00000005448.17	ENSG00000005448.17	WDR54	protein_coding	OTTHUMG00000129951.4	HGNC:25770	2	---	0	1	1	2	8	21	6	4	4	2
7	87345664	87399795	54131	+	ENSG00000005469.12	ENSG00000005469.12	CROT	protein_coding	OTTHUMG00000023653.5	HGNC:2366	1 | 2	---	5	13	18	2	52	70	66	11	17	10
7	87401696	87480436	78740	-	ENSG00000005471.19	ENSG00000005471.19	ABCB4	protein_coding	OTTHUMG00000023396.20	HGNC:45	2	---	0	1	0	1	3	3	1	1	0	1
7	104940943	105115020	174077	+	ENSG00000005483.23	ENSG00000005483.23	KMT2E	protein_coding	OTTHUMG00000157277.5	HGNC:18541	1 | 2	---	1880.38	3747.72	2660.66	723.623	8422.87	7593.36	6876.78	695.34	3840.13	2139.88
7	75842602	75888927	46325	+	ENSG00000005486.17	ENSG00000005486.17	RHBDD2	protein_coding	OTTHUMG00000156435.5	HGNC:23082	1 | 2 | 3	---	951.001	1574.99	2725.97	3523.99	1541	1438	1647	1012	832.003	1045
6	82169986	82247755	77769	-	ENSG00000005700.15	ENSG00000005700.15	IBTK	protein_coding	OTTHUMG00000015102.3	HGNC:17853	2 | 3	---	5	2	130	8	272	263	215	59	43	42
11	3339261	3379223	39962	-	ENSG00000005801.18	ENSG00000005801.18	ZNF195	protein_coding	OTTHUMG00000011694.10	HGNC:12986	1 | 2 | 3	---	9	11	42	8	117	124	121	32	23	23
13	77042474	77327095	284621	-	ENSG00000005810.20	ENSG00000005810.20	MYCBP2	protein_coding	OTTHUMG00000017105.5	HGNC:23386	2	---	612.6	783.454	924.167	132.033	3787.35	3323.97	2471.99	324	965.934	678.548
13	76992598	77027196	34598	-	ENSG00000005812.11	ENSG00000005812.11	FBXL3	protein_coding	OTTHUMG00000017099.6	HGNC:13599	1 | 2	---	834.326	1920.96	1967	907.79	4102.06	3597.3	4225.15	540.179	1681.85	1768.26
16	30472658	30523568	50910	+	ENSG00000005844.19	ENSG00000005844.19	ITGAL	protein_coding	OTTHUMG00000176964.5	HGNC:6148	1 | 2	---	5905.95	6369.99	6762.04	4391.16	14245.6	13751.2	10264.2	3064.99	5784.98	3879.99
17	50094737	50112153	17416	+	ENSG00000005882.12	ENSG00000005882.12	PDK2	protein_coding	OTTHUMG00000161948.18	HGNC:8810	1 | 2 | 3	---	12.4022	15	55.8485	13.9892	115.757	83.937	93.9994	47.9109	18	48
17	50055968	50090482	34514	+	ENSG00000005884.18	ENSG00000005884.18	ITGA3	protein_coding	OTTHUMG00000161890.7	HGNC:6139	2	---	2	0	7	4	14	13	15	2	24	3
X	24149173	24216256	67083	+	ENSG00000005889.16	ENSG00000005889.16	ZFX	protein_coding	OTTHUMG00000021264.2	HGNC:12869	2 | 3	---	492.001	1178	957.998	258	2061.98	2385	1705.99	418	888.999	678.001
X	120426148	120469366	43218	-	ENSG00000005893.17	ENSG00000005893.17	LAMP2	protein_coding	OTTHUMG00000022301.5	HGNC:6501	2	---	9677.89	13526.1	15139.2	6904.95	25537.7	24328.7	24337.2	5350	10683	12278.4
17	44372180	44389650	17470	-	ENSG00000005961.19	ENSG00000005961.19	ITGA2B	protein_coding	OTTHUMG00000177935.5	HGNC:6138	2	---	368	24	505	247	138	117	87	156	38	38
16	19501693	19522124	20431	-	ENSG00000006007.12	ENSG00000006007.12	GDE1	protein_coding	OTTHUMG00000131454.7	HGNC:29644	2	---	2834.02	3053.07	4971.35	2964.92	3790.95	4132.07	3385.03	1429.6	1414	2168.01
19	18588685	18592338	3653	+	ENSG00000006015.18	ENSG00000006015.18	REX1BD	protein_coding	OTTHUMG00000183112.1	HGNC:26098	1 | 2	---	21	44	238	146	372	350	344	169	73	134
19	18572220	18607742	35522	-	ENSG00000006016.12	ENSG00000006016.12	CRLF1	protein_coding	OTTHUMG00000183111.3	HGNC:2364	2	---	11.2864	26.1815	27.6704	4.68237	37.3732	50.6585	28.4274	8.46323	16.8282	4.07115
17	47807372	47821835	14463	-	ENSG00000006025.12	ENSG00000006025.12	OSBPL7	protein_coding	OTTHUMG00000178288.2	HGNC:16387	2 | 3	---	6	0	48	10	181	174	142	28	41	40
17	45263119	45317030	53911	-	ENSG00000006062.18	ENSG00000006062.18	MAP3K14	protein_coding	OTTHUMG00000180364.13	HGNC:6853	2	---	182.789	340.308	597.31	259	840.284	1146.61	1075.23	180	489.98	517.874
11	60924460	60937160	12700	+	ENSG00000006118.15	ENSG00000006118.15	TMEM132A	protein_coding	OTTHUMG00000167803.2	HGNC:31092	1 | 2	---	1	1	4	3	1	3	1	3	0	1
17	35578046	35726414	148368	+	ENSG00000006125.18	ENSG00000006125.18	AP2B1	protein_coding	OTTHUMG00000179924.5	HGNC:563	1 | 2 | 3	---	753	583.001	1451	659	2706.94	2880.95	2377.01	750	982.004	779.002
16	3283283	3301402	18119	+	ENSG00000006194.11	ENSG00000006194.11	ZNF263	protein_coding	OTTHUMG00000129323.4	HGNC:13056	1 | 2	---	98.4311	142.438	435.927	271.663	367.36	375.186	409.532	214.996	99.7123	168.844
17	50543058	50555853	12795	+	ENSG00000006282.21	ENSG00000006282.21	SPATA20	protein_coding	OTTHUMG00000162162.5	HGNC:26125	2 | 3	---	5	2	103	26	3	97	63	87	23	27
16	3018445	3022384	3939	+	ENSG00000006327.14	ENSG00000006327.14	TNFRSF12A	protein_coding	OTTHUMG00000129001.2	HGNC:18152	2	---	144	103	250	199	325	362	400.001	41	145	165
14	70722526	70809535	87009	-	ENSG00000006432.16	ENSG00000006432.16	MAP3K9	protein_coding	OTTHUMG00000171249.3	HGNC:6861	1 | 2	---	0	9	1	3	47	57	36	1	7	5
7	39623565	39708121	84556	+	ENSG00000006451.8	ENSG00000006451.8	RALA	protein_coding	OTTHUMG00000128775.5	HGNC:9839	2	---	79	56	214	125	374	357	402	149	108	179
7	98291650	98401091	109441	-	ENSG00000006453.14	ENSG00000006453.14	BAIAP2L1	protein_coding	OTTHUMG00000165117.2	HGNC:21649	2	---	14.9115	31	4.14324	8.56154	28	17.0828	25.8819	6.14479	12.9776	5.22137
7	140084746	140176984	92238	-	ENSG00000006459.11	ENSG00000006459.11	KDM7A	protein_coding	OTTHUMG00000157327.2	HGNC:22224	2	---	2368.99	3685.93	3437.99	1475	3762	4591.83	4457.96	660.998	2035	1341.01
7	141551278	141655245	103967	+	ENSG00000006530.18	ENSG00000006530.18	AGK	protein_coding	OTTHUMG00000157499.2	HGNC:21869	2 | 3	---	3	1	30	5.00003	58.0062	58.9573	48.2041	22.0004	17.2837	8.00003
11	68008578	68029283	20705	+	ENSG00000006534.17	ENSG00000006534.17	ALDH3B1	protein_coding	OTTHUMG00000154910.7	HGNC:410	2	---	1044	798.999	3053.98	1445	2336.97	2157.01	1987.99	872.993	722	797.999
1	54779712	54801324	21612	-	ENSG00000006555.11	ENSG00000006555.11	TTC22	protein_coding	OTTHUMG00000009916.4	HGNC:26067	1 | 2	---	22	24	90	44	198	214	254	11	68	69
7	77798773	77957504	158731	+	ENSG00000006576.17	ENSG00000006576.17	PHTF2	protein_coding	OTTHUMG00000155557.3	HGNC:13411	2	---	75	100	246	44	553	420.001	543	61	167	202
2	241356285	241494842	138557	+	ENSG00000006607.14	ENSG00000006607.14	FARP2	protein_coding	OTTHUMG00000151574.5	HGNC:16460	1 | 2	---	9	62.112	68.9999	17.0002	274.436	248.977	282.306	21.9153	62.4363	63.1608
7	30496621	30504842	8221	-	ENSG00000006625.18	ENSG00000006625.18	GGCT	protein_coding	OTTHUMG00000128593.3	HGNC:21705	1 | 2 | 3	---	9.36773	14	81	63	43.9896	45	58.5166	118.413	19	8
7	87876216	87909554	33338	+	ENSG00000006634.8	ENSG00000006634.8	DBF4	protein_coding	OTTHUMG00000131034.7	HGNC:17364	2	---	11	11	116.876	26	58.5915	50	44	39	8	15
19	3594507	3606876	12369	-	ENSG00000006638.13	ENSG00000006638.13	TBXA2R	protein_coding	OTTHUMG00000180806.3	HGNC:11608	2	---	2	0	1	8	8	4	3	6	2	1
7	112422887	112481018	58131	+	ENSG00000006652.15	ENSG00000006652.15	IFRD1	protein_coding	OTTHUMG00000155124.8	HGNC:5456	1 | 2	---	4469.02	3739.89	6463.98	6179.51	5527.16	7242.82	7715.64	5402.49	3197.92	2955.06
17	14069490	14231737	162247	+	ENSG00000006695.12	ENSG00000006695.12	COX10	protein_coding	OTTHUMG00000058814.4	HGNC:2260	2	---	3.25883	3	38	7	41.0925	36	52	32	13	14
19	39385629	39391155	5526	-	ENSG00000006712.15	ENSG00000006712.15	PAF1	protein_coding	OTTHUMG00000182968.3	HGNC:25459	2	---	481	773	1638	839	1471	1631	1375	953.001	586.002	669.999
7	38722974	38932395	209421	-	ENSG00000006715.16	ENSG00000006715.16	VPS41	protein_coding	OTTHUMG00000023629.8	HGNC:12713	1 | 2	---	173	333	578	195	2495	2165.99	2224.01	314	969.999	1098
17	12789498	12991644	202146	+	ENSG00000006740.18	ENSG00000006740.18	ARHGAP44	protein_coding	OTTHUMG00000058765.6	HGNC:29096	1 | 2	---	0	2	0	2	6	4	1	0	1	0
17	12991612	13018066	26454	-	ENSG00000006744.19	ENSG00000006744.19	ELAC2	protein_coding	OTTHUMG00000058764.16	HGNC:14198	1 | 2	---	19	17	122	38	157	258	236	81	46	59
X	2903972	2929350	25378	-	ENSG00000006756.16	ENSG00000006756.16	ARSD	protein_coding	OTTHUMG00000021077.4	HGNC:717	1 | 2	---	190	277	401	183	672	526.001	473	346	211	173.995
X	7898247	7927740	29493	-	ENSG00000006757.12	ENSG00000006757.12	PNPLA4	protein_coding	OTTHUMG00000021103.3	HGNC:24887	2 | 3	---	5	14	18	17	29	32	33	21	6	8
